long_name,year,Brooklyn,Bronx,Manhattan,Queens,Staten Island
Population,2005,2446016,1309640,1529774,2215339,455344
Population,2006,2508820,1361473,1611581,2255175,477377
Population,2007,2528050,1373659,1620867,2270338,481613
Population,2008,2556598,1391903,1634795,2293007,487407
Population,2009,2567098,1397287,1629054,2306712,491730
Population,2010,2508340,1386657,1586698,2233841,469363
Population,2011,2532645,1392002,1601948,2247848,470467
Population,2012,2565635,1408473,1619090,2272771,470728
Population,2013,2592149,1418733,1626159,2296175,472621
Population,2014,2621793,1438159,1636268,2321580,473279
Population,2015,2636735,1455444,1644518,2339150,474558
Population,2016,2629150,1455720,1643734,2333054,476015
Population,2017,2648771,1471160,1664727,2358582,479458
Population,2018,2582830,1432132,1628701,2278906,476179
Population,2019,2559903,1418207,1628706,2253858,476143
